order,season,episode,character_killed,killer,method,method_cat,location,importance
74,2,3,Night’s Watch recruit,Lannister soldier,Spear,Polearm,Riverlands,1.0
75,2,3,Lommy Greenhands,Polliver,Sword (Needle),Blade,Riverlands,2.0
76,2,4,Rennick,Grey Wind,Direwolf teeth,Animal,Oxcross,2.0
77,2,4,Lannister soldier,Grey Wind,Direwolf teeth,Animal,Oxcross,1.0
78,2,4,Prisoner,The Tickler,Rat,Animal,Harrenhal,1.0
79,2,5,Renly Baratheon,Melisandre “the Red Woman” of Asshai,Shadow Demon,Magic,Storm’s End,4.0
80,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Storm’s End,1.0
81,2,5,Baratheon of Storm’s End guard,Brienne of Tarth,Sword,Blade,Storm’s End,1.0
82,2,5,The Tickler,Jaqen H’ghar,Unknown,Unknown,Harrenhal,2.0
83,2,6,Rodrik Cassel,Theon Greyjoy,Sword,Blade,Winterfell,3.0
84,2,6,Wildling,Night’s Watch brother,Arrow,Arrow,Beyond the Wall,1.0
85,2,6,Wildling,Qhorin Halfhand,Sword,Blade,Beyond the Wall,1.0
86,2,6,High Septon,Peasants,Hands,Hands,King’s Landing,1.0
87,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,King’s Landing,1.0
88,2,6,Peasant,Sandor “the Hound” Clegane,Sword,Blade,King’s Landing,1.0
89,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,King’s Landing,1.0
90,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,King’s Landing,1.0
91,2,6,Peasant,Sandor “the Hound” Clegane,Knife,Blade,King’s Landing,1.0
92,2,6,Amory Lorch,Jaqen H’ghar,Poison dart,Poison,Harrenhal,2.0
93,2,6,Drennan,Osha,Knife,Blade,Winterfell,2.0
94,2,6,Irri,Unknown,Unknown,Unknown,Qarth,3.0
95,2,7,Alton Lannister,Jaime Lannister,Hands,Hands,Robb Stark’s camp,2.0
96,2,7,Torrhen Karstark,Jaime Lannister,Hands,Hands,Robb Stark’s camp,2.0
97,2,7,The Spice King,Pyat Pree,Knife,Blade,Qarth,3.0
98,2,7,The Silk King,Pyat Pree,Knife,Blade,Qarth,1.0
99,2,7,The Copper King,Pyat Pree,Knife,Blade,Qarth,1.0
100,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
101,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
102,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
103,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
104,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
105,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
106,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
107,2,7,Member of the Thirteen,Pyat Pree,Knife,Blade,Qarth,1.0
108,2,7,Billy,Theon Greyjoy,Fire,Fire/Burning,Winterfell,2.0
109,2,7,Jack,Theon Greyjoy,Fire,Fire/Burning,Winterfell,2.0
110,2,9,Matthos Seaworth,Bronn,Wildfire,Fire/Burning,King’s Landing,3.0
111,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
112,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
113,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
114,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
115,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
116,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
117,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
118,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
119,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
120,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
121,2,9,Baratheon of Dragonstone soldier,Accident,Blunt object,Bludgeon,King’s Landing,1.0
122,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
123,2,9,Baratheon of Dragonstone soldier,Bronn,Wildfire,Fire/Burning,King’s Landing,1.0
124,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
125,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
126,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
127,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
128,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
129,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
130,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
131,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
132,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
133,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
134,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
135,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
136,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
137,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
138,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
139,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
140,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
141,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
142,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
143,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Flaming arrow,Arrow,King’s Landing,1.0
144,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,King’s Landing,1.0
145,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,King’s Landing,1.0
146,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,King’s Landing,1.0
147,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,King’s Landing,1.0
148,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,King’s Landing,1.0
149,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,King’s Landing,1.0
150,2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,King’s Landing,1.0
151,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,King’s Landing,1.0
152,2,9,Baratheon of Dragonstone soldier,Sandor “the Hound” Clegane,Sword,Blade,King’s Landing,1.0
153,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,King’s Landing,1.0
154,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Axe,Axe,King’s Landing,1.0
155,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Hands,Hands,King’s Landing,1.0
156,2,9,Baratheon of Dragonstone soldier,Bronn,Arrow,Arrow,King’s Landing,1.0
157,2,9,Baratheon of Dragonstone soldier,Bronn,Knife,Blade,King’s Landing,1.0
158,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Fire,Fire/Burning,King’s Landing,1.0
159,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,King’s Landing,1.0
160,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,King’s Landing,1.0
161,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,King’s Landing,1.0
162,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Boulder,Crushing,King’s Landing,1.0
163,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,King’s Landing,1.0
164,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Arrow,Arrow,King’s Landing,1.0
165,2,9,Baratheon of Dragonstone soldier,Tyrion Lannister,Axe,Axe,King’s Landing,1.0
166,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,King’s Landing,1.0
167,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,King’s Landing,1.0
168,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Sword,Blade,King’s Landing,1.0
169,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,King’s Landing,1.0
170,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Bludgeon,Bludgeon,King’s Landing,1.0
171,2,9,Baratheon of King’s Landing soldier,Stannis Baratheon,Sword,Blade,King’s Landing,1.0
172,2,9,Mandon Moore,Podrick Payne,Spear,Polearm,King’s Landing,2.0
173,2,9,Baratheon of King’s Landing soldier,Baratheon of Dragonstone soldier,Sword,Blade,King’s Landing,1.0
174,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Unknown,Unknown,King’s Landing,1.0
175,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,King’s Landing,1.0
176,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,King’s Landing,1.0
177,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,King’s Landing,1.0
178,2,9,Baratheon of Dragonstone soldier,Lannister soldier,Sword,Blade,King’s Landing,1.0
179,2,9,Baratheon of Dragonstone soldier,Loras Tyrell,Sword,Blade,King’s Landing,1.0
180,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,King’s Landing,1.0
181,2,9,Baratheon of Dragonstone soldier,Baratheon of King’s Landing soldier,Arrow,Arrow,King’s Landing,1.0
182,2,10,Stark soldier,Brienne of Tarth,Sword,Blade,Unknown,1.0
183,2,10,Stark soldier,Brienne of Tarth,Sword,Blade,Unknown,1.0
184,2,10,Stark soldier,Brienne of Tarth,Sword,Blade,Unknown,1.0
185,2,10,Maester Luwin,Osha,Knife,Blade,Winterfell,3.0
186,2,10,Pyat Pree,Daenerys Targaryen,Dragonfire,Animal,Qarth,3.0
187,2,10,Qhorin Halfhand,Jon Snow,Sword (Longclaw),Blade,Beyond the Wall,3.0
188,2,10,Xaro Xhoan Daxos,Daenerys Targaryen,Sealed into vault,Other,Qarth,3.0
189,2,10,Doreah,Daenerys Targaryen,Sealed into vault,Other,Qarth,3.0
190,3,1,Wight,Jeor Mormont,Fire,Fire/Burning,Beyond the Wall,1.0
191,3,1,Manticore,Barristan Selmy,Knife,Blade,Astapor,1.0
192,3,2,Hoster Tully,,Illness,Other,Riverrun,2.0
193,3,3,Bolton soldier,Ramsay Bolton,Arrow,Arrow,Dreadfort,1.0
194,3,3,Bolton soldier,Ramsay Bolton,Arrow,Arrow,Dreadfort,1.0
195,3,3,Bolton soldier,Ramsay Bolton,Arrow,Arrow,Dreadfort,1.0
196,3,3,Bolton soldier,Ramsay Bolton,Arrow,Arrow,Dreadfort,1.0
197,3,4,Bannen,,Broken foot,Other,Beyond the Wall,1.0
198,3,4,Craster,Karl Tanner,Knife,Blade,Beyond the Wall,3.0
199,3,4,Jeor Mormont,Rast,Knife,Blade,Beyond the Wall,4.0
200,3,4,Astapor slaver,Unsullied,Spear,Polearm,Astapor,1.0
201,3,4,Astapor slaver,Unsullied,Spear,Polearm,Astapor,1.0
202,3,4,Kraznys mo Nakloz,Drogon,Dragonfire,Animal,Astapor,3.0
203,3,4,Astapor soldier,Unsullied,Spear,Polearm,Astapor,1.0
204,3,4,Astapor soldier,Unsullied,Spear,Polearm,Astapor,1.0
205,3,4,Astapor soldier,Unsullied,Spear,Polearm,Astapor,1.0
206,3,4,Astapor slaver,Unsullied,Spear,Polearm,Astapor,1.0
207,3,5,Beric Dondarrion,Sandor “the Hound” Clegane,Sword,Blade,Riverlands,3.0
208,3,5,Stark soldier,Karstark soldier,Sword,Blade,Riverrun,1.0
209,3,5,Willem Lannister,Karstark soldier,Unknown,Unknown,Riverrun,2.0
210,3,5,Martyn Lannister,Rickard Karstark,Knife,Blade,Riverrun,2.0
211,3,5,Rickard Karstark,Robb Stark,Sword,Blade,Riverrun,3.0
212,3,6,Wildling,,Falling,Falling,The Wall,1.0
213,3,6,Wildling,,Falling,Falling,The Wall,1.0
214,3,6,Wildling,,Falling,Falling,The Wall,1.0
215,3,6,Wildling,,Falling,Falling,The Wall,1.0
216,3,6,Wildling,,Falling,Falling,The Wall,1.0
217,3,6,Wildling,,Falling,Falling,The Wall,1.0
218,3,6,Ros,Joffrey Baratheon,Arrow,Arrow,King’s Landing,3.0
219,3,8,Leech,Stannis Baratheon,Fire,Fire/Burning,Dragonstone,1.0
220,3,8,Leech,Stannis Baratheon,Fire,Fire/Burning,Dragonstone,1.0
221,3,8,Leech,Stannis Baratheon,Fire,Fire/Burning,Dragonstone,1.0
222,3,8,Mero,Daario Naharis,Unknown,Unknown,Yunkai,2.0
223,3,8,Prendahl na Ghezn,Daario Naharis,Unknown,Unknown,Yunkai,2.0
224,3,8,White Walker,Sam Tarly,Dragonglass,Blade,Beyond the Wall,2.0
225,3,9,Horse breeder,Ygritte,Arrow,Arrow,The Gift,2.0
226,3,9,Wildling,Jon Snow,Sword,Blade,The Gift,1.0
227,3,9,Wildling,Summer,Direwolf teeth,Animal,The Gift,1.0
228,3,9,Wildling,Shaggydog,Direwolf teeth,Animal,The Gift,1.0
229,3,9,Orell,Jon Snow,Sword,Blade,The Gift,3.0
230,3,9,Yunkai soldier,Jorah Mormont,Sword,Blade,Yunkai,1.0
231,3,9,Yunkai soldier,Daario Naharis,Arakh,Blade,Yunkai,1.0
232,3,9,Yunkai soldier,Grey Worm,Spear,Polearm,Yunkai,1.0
233,3,9,Yunkai soldier,Daario Naharis,Arakh,Blade,Yunkai,1.0
234,3,9,Yunkai soldier,Jorah Mormont,Sword,Blade,Yunkai,1.0
235,3,9,Yunkai soldier,Daario Naharis,Arakh,Blade,Yunkai,1.0
236,3,9,Yunkai soldier,Daario Naharis,Arakh,Blade,Yunkai,1.0
237,3,9,Yunkai soldier,Daario Naharis,Arakh,Blade,Yunkai,1.0
238,3,9,Yunkai soldier,Grey Worm,Spear,Polearm,Yunkai,1.0
239,3,9,Yunkai soldier,Daario Naharis,Knife,Blade,Yunkai,1.0
240,3,9,Yunkai soldier,Daario Naharis,Arakh,Blade,Yunkai,1.0
241,3,9,Unborn Stark child,Lothar Frey,Knife,Blade,The Twins,2.0
242,3,9,Talisa Stark,Lothar Frey,Knife,Blade,The Twins,4.0
243,3,9,Stark soldier,Frey soldier,Arrow,Arrow,The Twins,1.0
244,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
245,3,9,Stark soldier,Frey soldier,Arrow,Arrow,The Twins,1.0
246,3,9,Stark soldier,Frey soldier,Arrow,Arrow,The Twins,1.0
247,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
248,3,9,Stark soldier,Frey soldier,Arrow,Arrow,The Twins,1.0
249,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
250,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
251,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
252,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
253,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
254,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
255,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
256,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
257,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
258,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
259,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
260,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
261,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
262,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
263,3,9,Stark soldier,Frey soldier,Sword,Blade,The Twins,1.0
264,3,9,Grey Wind,Frey soldier,Arrow,Arrow,The Twins,4.0
265,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
266,3,9,Stark soldier,Frey soldier,Knife,Blade,The Twins,1.0
267,3,9,Robb Stark,Roose Bolton,Knife,Blade,The Twins,4.0
268,3,9,Joyeuse Frey,Catelyn Stark,Knife,Blade,The Twins,2.0
269,3,9,Catelyn Stark,Black Walder Rivers,Knife,Blade,The Twins,4.0
270,3,10,Stark soldier,Frey soldier,Sword,Blade,The Twins,1.0
271,3,10,Stark soldier,Frey soldier,Hanging,Other,The Twins,1.0
272,3,10,Stark soldier,Frey soldier,Sword,Blade,The Twins,1.0
273,3,10,Frey soldier,Arya Stark,Knife,Blade,Riverlands,1.0
274,3,10,Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Riverlands,1.0
275,3,10,Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Riverlands,1.0
276,3,10,Frey soldier,Sandor “the Hound” Clegane,Sword,Blade,Riverlands,1.0
277,4,1,Baratheon of King’s Landing soldier,Sandor “the Hound” Clegane,Sword,Blade,Riverlands,1.0
278,4,1,Lowell (King’s Soldier),Sandor “the Hound” Clegane,Knife,Blade,Riverlands,1.0
279,4,1,Baratheon of King’s Landing soldier,Arya Stark,Sword,Blade,Riverlands,1.0
280,4,1,Baratheon of King’s Landing soldier,Sandor “the Hound” Clegane,Sword,Blade,Riverlands,1.0
281,4,1,Polliver,Arya Stark,Sword (Needle),Blade,Riverlands,3.0
282,4,2,Tansy,Ramsay Bolton,Dogs,Animal,Dreadfort,2.0
283,4,2,Axell Florent,Melisandre “the Red Woman” of Asshai,Fire,Fire/Burning,Dragonstone,2.0
284,4,2,Dragonstone citizen,Melisandre “the Red Woman” of Asshai,Fire,Fire/Burning,Dragonstone,1.0
285,4,2,Dragonstone citizen,Melisandre “the Red Woman” of Asshai,Fire,Fire/Burning,Dragonstone,1.0
286,4,2,Deer,Summer,Direwolf teeth,Animal,Beyond the Wall,1.0
287,4,2,Joffrey Baratheon,Olenna Tyrell,Poison,Poison,King’s Landing,4.0
288,4,3,Dontos Hollard,Baelish soldier,Arrow,Arrow,King’s Landing,3.0
289,4,3,Guymon,Ygritte,Arrow,Arrow,The Gift,2.0
290,4,3,Olly’s mom,Styr,Axe,Axe,The Gift,2.0
291,4,3,Peasant,Thenn raider,Unknown,Unknown,The Gift,1.0
292,4,3,Peasant,Tormund,Sword,Blade,The Gift,1.0
293,4,3,Peasant,Tormund,Sword,Blade,The Gift,1.0
294,4,3,Peasant,Tormund,Sword,Blade,The Gift,1.0
295,4,3,Peasant,Tormund,Sword,Blade,The Gift,1.0
296,4,3,Peasant,Ygritte,Sword,Blade,The Gift,1.0
297,4,3,Champion of Meereen’s Horse,Daario Naharis,Knife,Blade,Meereen,1.0
298,4,3,Champion of Meereen,Daario Naharis,Arakh,Blade,Meereen,2.0
299,4,4,Meereen slave master,Meereen slaves,Unknown,Unknown,Meereen,1.0
300,4,5,Night’s Watch mutineer,Eddison Tollett,Sword,Blade,Beyond the Wall,1.0
301,4,5,Night’s Watch mutineer,Locke,Sword,Blade,Beyond the Wall,1.0
302,4,5,Night’s Watch mutineer,Locke,Sword,Blade,Beyond the Wall,1.0
303,4,5,Night’s Watch brother,Night’s Watch mutineer,Axe,Axe,Beyond the Wall,1.0
304,4,5,Night’s Watch brother,Night’s Watch mutineer,Sword,Blade,Beyond the Wall,1.0
305,4,5,Night’s Watch mutineer,Jon Snow,Sword (Longclaw),Blade,Beyond the Wall,1.0
306,4,5,Night’s Watch brother,Night’s Watch mutineer,Sword,Blade,Beyond the Wall,1.0
307,4,5,Night’s Watch mutineer,Jon Snow,Sword (Longclaw),Blade,Beyond the Wall,1.0
308,4,5,Night’s Watch mutineer,Eddison Tollett,Sword,Blade,Beyond the Wall,1.0
309,4,5,Night’s Watch mutineer,Jon Snow,Sword (Longclaw),Blade,Beyond the Wall,1.0
310,4,5,Locke,Hodor/Bran Stark,Hands,Hands,Beyond the Wall,3.0
311,4,5,Night’s Watch mutineer,Jon Snow,Sword (Longclaw),Blade,Beyond the Wall,1.0
312,4,5,Night’s Watch brother,Karl Tanner,Knife,Blade,Beyond the Wall,1.0
